TASK INPUT SIZES
========================================================================

  1. eee78d87           6x6    36 cells
  2. 20270e3b          7x13    91 cells
  3. 28a6681f         10x10   100 cells
  4. d35bdbdc         10x10   100 cells
  5. 78332cb0         11x11   121 cells
  6. dd6b8c4b         11x11   121 cells
  7. 3dc255db         12x12   144 cells
  8. b6f77b65         12x12   144 cells
  9. dbff022c         12x12   144 cells
 10. faa9f03d         12x12   144 cells
 11. 97d7923e         10x15   150 cells
 12. 269e22fb         13x12   156 cells
 13. 4c3d4a41          8x20   160 cells
 14. b0039139          6x27   162 cells
 15. e8686506         13x13   169 cells
 16. 7491f3cf          7x25   175 cells
 17. 16de56c4          9x20   180 cells
 18. 21897d95         16x12   192 cells
 19. 1ae2feb7         13x15   195 cells
 20. 45a5af55         14x14   196 cells
 21. bf45cf4b         12x17   204 cells
 22. 247ef758         12x18   216 cells
 23. 291dc1e1          8x28   224 cells
 24. 136b0064         15x15   225 cells
 25. 31f7f899         15x15   225 cells
 26. 65b59efc         14x17   238 cells
 27. 446ef5d2         12x20   240 cells
 28. 36a08778         15x16   240 cells
 29. db695cfb         15x16   240 cells
 30. 581f7754         22x11   242 cells
 31. 2b83f449         13x19   247 cells
 32. 1818057f         15x17   255 cells
 33. 332f06d7         16x16   256 cells
 34. 409aa875         16x16   256 cells
 35. 6e453dd6         16x16   256 cells
 36. 7666fa5d         16x16   256 cells
 37. 7b5033c1         16x16   256 cells
 38. d59b0160         16x16   256 cells
 39. e376de54         16x16   256 cells
 40. f931b4a8         16x16   256 cells
 41. 9385bd28         15x18   270 cells
 42. 9bbf930d         17x16   272 cells
 43. b9e38dc0         18x16   288 cells
 44. 271d71e2         17x17   289 cells
 45. 88bcf3b4         17x17   289 cells
 46. 5545f144         12x25   300 cells
 47. 71e489b6         19x17   323 cells
 48. 4a21e3da         18x18   324 cells
 49. 7ed72f31         18x18   324 cells
 50. c7f57c3e         18x18   324 cells
 51. 53fb4810         24x14   336 cells
 52. cb2d8a2c         19x19   361 cells
 53. db0c5428         19x19   361 cells
 54. 13e47133         20x20   400 cells
 55. 142ca369         20x20   400 cells
 56. 35ab12c3         20x20   400 cells
 57. 5dbc8537         20x20   400 cells
 58. 6ffbe589         20x20   400 cells
 59. 7b0280bc         20x20   400 cells
 60. 7b3084d4         20x20   400 cells
 61. 800d221b         20x20   400 cells
 62. 88e364bc         20x20   400 cells
 63. 8f3a5a89         20x20   400 cells
 64. abc82100         20x20   400 cells
 65. de809cff         20x20   400 cells
 66. dfadab01         20x20   400 cells
 67. f560132c         20x20   400 cells
 68. 8b9c3697         19x22   418 cells
 69. 8b7bacbf         18x24   432 cells
 70. 58f5dbd5         19x23   437 cells
 71. a25697e4         18x25   450 cells
 72. 135a2760         21x22   462 cells
 73. 38007db0         19x25   475 cells
 74. 3a25b0d8         22x22   484 cells
 75. 8e5c0c38         22x22   484 cells
 76. a395ee82         22x22   484 cells
 77. a47bf94d         22x22   484 cells
 78. b5ca7ac4         22x22   484 cells
 79. cbebaa4b         22x22   484 cells
 80. da515329         22x22   484 cells
 81. fc7cae8d         22x22   484 cells
 82. 2c181942         20x25   500 cells
 83. 2d0172a1         20x25   500 cells
 84. 4c416de3         23x23   529 cells
 85. 58490d8a         23x23   529 cells
 86. 8f215267         23x23   529 cells
 87. c4d067a0         23x23   529 cells
 88. 2ba387bc         23x24   552 cells
 89. edb79dae         23x24   552 cells
 90. 898e7135         19x30   570 cells
 91. 5961cc34         23x25   575 cells
 92. e12f9a14         24x24   576 cells
 93. a32d8b75         20x30   600 cells
 94. e87109e9         25x24   600 cells
 95. 4e34c42c         30x20   600 cells
 96. 89565ca0         22x28   616 cells
 97. 195c6913         25x25   625 cells
 98. 221dfab4         29x22   638 cells
 99. aa4ec2a5         28x23   644 cells
100. d8e07eb2         30x22   660 cells
101. 7b80bb43         28x24   672 cells
102. 6e4f6532         26x26   676 cells
103. 80a900e0         24x30   720 cells
104. 7c66cb00         30x24   720 cells
105. 3e6067c3         27x27   729 cells
106. b10624e5         27x27   729 cells
107. 64efde09         26x29   754 cells
108. b99e7126         29x29   841 cells
109. 0934a4d8         30x30   900 cells
110. 16b78196         30x30   900 cells
111. 20a9e565         30x30   900 cells
112. 4c7dc4dd         30x30   900 cells
113. 62593bfd         30x30   900 cells
114. 67e490f4         30x30   900 cells
115. 8698868d         30x30   900 cells
116. 981571dc         30x30   900 cells
117. 9aaea919         30x30   900 cells
118. a251c730         30x30   900 cells
119. a6f40cea         30x30   900 cells
120. e3721c99         30x30   900 cells
